 [2012-11-11 16:29:13,937]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:29:14,137]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:29:14,323]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:29:14,473]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:29:14,617]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:29:14,860]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:29:16,525]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:29:22,120]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:29:22,285]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:29:22,552]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:29:22,725]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:29:22,902]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:31:03,585]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:31:03,843]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:31:04,017]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:31:49,628]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:31:49,787]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 16:31:49,912]   [DEBUG] (Thread-1  ) Exception msg: list index out of range 
 [2012-11-11 17:26:35,694]   [DEBUG] (Thread-2  ) Exception msg: list index out of range 
 [2012-11-11 17:48:18,818]   [DEBUG] (Thread-2  ) Exception msg: list index out of range 
 [2012-11-11 17:48:18,949]   [DEBUG] (Thread-2  ) Exception msg: list index out of range 
 [2012-11-11 17:50:14,503]   [DEBUG] (Thread-2  ) Exception msg: list index out of range 
 [2012-11-11 17:54:31,452]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,455]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,458]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,461]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,464]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,467]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,469]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,472]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,475]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,477]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,480]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,483]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,486]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,489]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,492]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,494]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,497]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,500]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,503]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,506]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,508]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,511]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,514]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,517]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,520]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,522]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,525]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,528]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,530]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,533]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,536]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,539]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,542]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,545]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,548]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,550]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,553]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,556]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,559]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,562]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,564]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,567]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,570]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,573]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,575]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,579]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,581]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,584]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,587]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,590]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,592]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
 [2012-11-11 17:54:31,595]   [DEBUG] (Thread-5  ) Exception msg: [Errno 50] Network is down 
